name,patterns,k,max_abs_nonzero,empirical_k_nc,argmax_m
K4_1_11_011_111,1 11 011 111,6,0.30044849989085354,No,1
K4_1_11_011_111,1 11 011 111,7,0.3763827425824161,No,1
K4_1_11_011_111,1 11 011 111,8,0.43148715862432424,No,1
K4_001_010_100_111,001 010 100 111,2,0.6666259765625,No,1
K4_001_010_100_111,001 010 100 111,3,0.3689951887692573,No,1
K4_001_010_100_111,001 010 100 111,4,0.0014673846777553373,Yes,51
K4_001_010_100_111,001 010 100 111,5,0.2625124935661401,No,1
K4_001_010_100_111,001 010 100 111,6,0.4388957791422176,No,1
K4_001_010_100_111,001 010 100 111,7,0.5601900372075497,No,1
K4_001_010_100_111,001 010 100 111,8,0.6464025834195662,No,1
K4_001_011_100_110,001 011 100 110,2,1.0,No,2
K4_001_011_100_110,001 011 100 110,3,0.312591557203414,No,2
K4_001_011_100_110,001 011 100 110,4,0.001342773437499954,Yes,55
K4_001_011_100_110,001 011 100 110,5,0.20236466540868914,No,1
K4_001_011_100_110,001 011 100 110,6,0.3750915564587558,No,1
K4_001_011_100_110,001 011 100 110,7,0.5061892876940469,No,1
K4_001_011_100_110,001 011 100 110,8,0.603614428835343,No,1
