name,patterns,N,k,max_abs_nonzero,empirical_k_nc,argmax_m,argmax_symbolic
K4_01_001_101,01 001 101,4096,8,0.5002442002005514,No,1,(1/4096) * (2049 + 1023*zeta^2 + 1024*zeta^6)
K4_10_010_110,10 010 110,4096,2,1.0,No,1,(1/4096) * (4096)
K4_10_010_110,10 010 110,4096,3,0.2503659431087823,No,64,(1/4096) * (2048 + 1056*zeta^1 + 992*zeta^2)
K4_10_010_110,10 010 110,4096,4,0.00927734375,No,53,(1/4096) * (2067 + 2029*zeta^2)
K4_10_010_110,10 010 110,4096,5,0.1433453157553473,No,3,(1/4096) * (1794 + 257*zeta^1 + 1278*zeta^2 + 767*zeta^3)
K4_10_010_110,10 010 110,4096,6,0.2503659431087822,No,64,(1/4096) * (2048 + 992*zeta^2 + 1056*zeta^4)
K4_10_010_110,10 010 110,4096,7,0.38903788555589025,No,64,(1/4096) * (2048 + 992*zeta^2 + 1056*zeta^5)
K4_10_010_110,10 010 110,4096,8,0.5002440810494412,No,64,(1/4096) * (2048 + 992*zeta^2 + 1056*zeta^6)
K4_11_011_111,11 011 111,4096,2,1.0,No,1,(1/4096) * (4096)
K4_11_011_111,11 011 111,4096,3,0.34061589710076307,No,1,(1/4096) * (1901 + 1756*zeta^1 + 439*zeta^2)
K4_11_011_111,11 011 111,4096,4,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^2)
K4_11_011_111,11 011 111,4096,5,0.20732968064923193,No,1,(1/4096) * (1817 + 99*zeta^1 + 397*zeta^2 + 1585*zeta^3 + 198*zeta^4)
K4_11_011_111,11 011 111,4096,6,0.34061589710076284,No,1,(1/4096) * (1901 + 439*zeta^2 + 1756*zeta^4)
K4_11_011_111,11 011 111,4096,7,0.43257951591027866,No,1,(1/4096) * (1798 + 49*zeta^1 + 387*zeta^2 + 24*zeta^3 + 193*zeta^4 + 1548*zeta^5 + 97*zeta^6)
K4_11_011_111,11 011 111,4096,8,0.5000977420639203,No,1,(1/4096) * (1843 + 409*zeta^2 + 205*zeta^4 + 1639*zeta^6)
K4_01_10,01 10,4096,2,1.0,No,1,(1/4096) * (4096*zeta^1)
K4_01_10,01 10,4096,3,0.5000001788139024,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^2)
K4_01_10,01 10,4096,4,0.00830078125,No,45,(1/4096) * (2031*zeta^1 + 2065*zeta^3)
K4_01_10,01 10,4096,5,0.3090173433064186,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^4)
K4_01_10,01 10,4096,6,0.5000001788139021,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^5)
K4_01_10,01 10,4096,7,0.6234899187298016,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^6)
K4_01_10,01 10,4096,8,0.7071068654802393,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^7)
K4_01_010_110,01 010 110,4096,2,1.0,No,1,(1/4096) * (4096*zeta^1)
K4_01_010_110,01 010 110,4096,3,0.5000001788139024,No,1,(1/4096) * (2047*zeta^1 + 2049*zeta^2)
